NoRes,NoReplayGain,Downmix,ReplayGainFast,Freeformat,Stereo,CRC,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,MPEGMode,time
0,0,0,0,0,0,0,0,1,48,320,0,4,8.49
0,1,0,0,1,0,0,0,0,48,320,0,2,7.31
0,1,0,0,0,0,0,0,0,48,8,0,4,6.14
0,0,0,1,0,0,0,0,0,48,320,0,3,8.98
0,0,0,1,0,0,0,0,0,48,8,0,3,8.21
0,1,1,0,0,0,0,0,0,48,320,0,4,7.25
0,1,0,0,0,0,0,0,0,48,8,0,4,7.04
0,1,0,0,0,0,0,0,0,48,8,2,3,6.35
0,0,0,0,0,0,0,0,1,48,8,0,2,10.4
0,1,0,0,0,0,0,0,0,48,8,0,2,6.94
1,0,0,0,0,0,0,0,1,48,8,0,4,10.32
0,0,0,0,0,0,0,0,1,44,320,0,2,10.0
0,0,0,1,0,0,0,0,0,44,8,0,2,8.18
0,0,0,0,0,0,0,0,1,44,8,1,3,8.91
0,0,0,0,0,0,0,0,1,44,8,0,3,8.92
0,1,0,0,0,0,0,0,0,44,8,0,2,6.65
0,0,0,0,0,0,0,1,1,44,8,0,3,10.7
0,1,0,0,0,0,0,0,0,44,320,0,3,6.54
0,1,0,0,0,0,0,0,0,44,8,0,2,4.63
0,0,0,0,0,0,0,0,1,44,320,0,4,10.52
0,0,0,1,0,0,0,0,0,44,160,0,3,8.74
0,1,0,0,0,0,0,0,0,44,8,0,4,7.16
0,1,0,0,0,0,0,0,0,44,320,0,2,5.54
0,1,0,0,0,0,0,0,0,44,8,0,2,6.73
0,1,0,0,0,0,0,0,0,44,8,0,3,6.05
0,0,0,1,0,0,0,0,0,44,160,0,3,6.45
0,0,0,1,0,0,0,0,0,44,8,0,2,8.21
0,0,0,1,0,0,0,0,0,44,320,0,2,8.02
0,0,0,1,0,1,0,0,0,44,8,1,1,7.49
0,0,0,0,0,0,0,0,1,44,8,0,3,7.18
0,0,0,1,0,0,0,0,0,44,8,0,2,6.33
0,0,0,1,0,0,0,0,0,44,8,0,3,6.37
0,0,0,0,0,0,1,0,1,44,160,0,4,10.91
0,0,0,1,0,1,0,0,0,44,160,0,1,9.14
0,1,0,0,0,1,0,0,0,44,8,0,1,7.1
0,0,0,0,0,0,0,0,1,44,8,1,1,8.83
0,1,0,0,0,0,0,0,0,44,8,0,2,5.88
0,0,0,0,0,0,0,0,1,44,8,0,4,10.09
0,0,0,1,0,0,0,0,0,44,8,0,4,7.43
0,0,0,1,0,0,0,0,0,44,8,0,3,6.2
0,1,0,0,0,0,0,0,0,44,8,0,2,7.75
0,0,0,0,0,1,0,0,1,44,320,0,1,8.02
0,0,0,0,1,0,0,0,1,44,320,0,2,10.37
0,1,0,0,0,0,0,0,0,44,8,0,4,5.89
0,0,0,0,0,0,0,0,1,44,160,0,3,10.37
0,0,0,1,0,0,0,0,0,44,8,0,1,8.79
0,0,1,0,0,0,0,0,1,44,8,0,2,11.25
0,0,0,0,0,0,0,0,1,44,8,0,3,10.69
0,1,0,0,0,1,0,0,0,44,8,2,1,6.08
0,0,0,0,0,0,0,0,1,44,8,0,4,9.68
0,1,0,0,0,0,0,0,0,44,8,1,2,5.89
1,0,0,0,0,0,0,0,1,44,160,0,1,10.19
0,0,0,0,0,0,0,0,1,8,8,2,3,2.42
0,1,0,0,0,0,0,0,0,44,8,1,2,5.93
0,0,0,0,0,0,0,0,1,8,8,0,1,2.72
0,0,0,0,0,0,0,1,1,44,8,0,3,10.6
0,1,0,0,0,0,0,0,0,8,8,0,2,1.15
0,0,0,0,0,0,0,0,1,44,320,0,3,9.86
0,1,0,0,0,0,0,0,0,22,8,0,3,4.56
0,0,0,0,0,0,0,0,1,48,8,0,3,9.82
0,0,0,1,0,0,0,0,0,8,8,0,3,1.12
0,0,0,1,0,0,0,0,0,22,8,0,2,4.45
0,0,0,0,0,0,0,0,1,22,8,0,3,5.59
0,0,0,1,0,0,0,0,0,8,8,0,3,1.5
0,1,0,0,0,0,0,0,0,22,160,0,2,4.5
0,1,0,0,0,0,0,0,0,22,320,0,2,4.53
0,0,0,0,0,0,0,0,1,44,8,0,4,9.72
0,1,0,0,0,0,0,0,0,22,8,0,2,3.01
0,1,0,0,0,0,0,0,0,8,8,2,1,0.84
0,1,0,0,0,1,0,0,0,8,8,2,1,0.82
0,0,0,0,0,1,1,0,1,22,160,0,1,6.36
0,0,0,0,0,0,0,0,1,22,160,0,3,6.36
0,0,0,0,0,0,0,0,1,22,160,0,1,6.73
0,0,0,0,0,1,0,0,1,48,8,2,1,9.47
0,0,0,0,0,0,0,0,1,44,320,0,1,10.01
0,0,0,0,0,0,0,0,1,22,8,2,2,5.8
0,1,0,0,0,0,0,0,0,48,8,1,2,6.01
0,1,0,0,0,0,0,0,0,8,320,0,4,2.21
0,1,0,0,0,0,0,0,0,22,320,0,1,2.96
0,0,0,1,0,1,0,0,0,48,8,0,1,9.88
0,0,0,1,0,0,0,0,0,8,160,0,2,2.48
0,1,0,0,0,0,0,0,0,44,8,0,2,4.97
0,1,0,0,1,0,0,0,0,8,320,0,2,2.42
0,0,0,0,0,0,0,0,1,8,8,0,1,2.39
0,0,0,0,0,0,0,0,1,48,8,0,3,9.47
0,0,0,1,0,0,0,0,0,22,160,0,3,5.59
0,1,1,0,0,0,0,0,0,48,8,2,3,6.21
0,0,0,0,0,0,0,0,1,48,8,0,2,9.88
0,0,0,1,0,1,0,0,0,22,8,2,1,4.89
0,1,0,0,0,0,0,0,0,8,8,0,4,1.98
0,1,0,0,0,0,0,0,0,8,8,0,3,1.53
1,1,0,0,0,0,0,0,0,22,320,0,3,4.42
0,0,0,0,0,1,0,0,1,22,8,1,1,5.41
0,0,0,0,0,0,0,0,1,22,8,1,3,5.87
0,0,0,1,0,0,0,0,0,8,320,0,4,2.31
0,0,0,0,0,0,0,1,1,8,160,0,3,2.85
0,0,0,1,0,0,0,0,0,22,8,1,1,4.33
0,0,0,1,0,0,0,0,0,22,160,0,4,3.72
0,0,0,0,0,0,0,0,1,48,320,0,3,10.21
0,0,0,1,0,0,0,0,0,8,8,0,3,2.35
0,0,0,1,0,0,0,0,0,22,8,0,4,5.29
0,0,0,0,0,0,0,0,1,22,8,0,3,4.29
0,1,0,0,0,0,0,0,0,44,8,0,2,7.48
0,0,0,0,0,0,0,0,1,44,8,0,2,10.98
0,0,0,0,0,0,0,0,1,48,8,0,2,7.74
0,1,0,0,0,1,0,0,0,8,160,0,1,1.94
0,0,0,1,0,0,0,0,0,22,160,0,3,5.22
0,0,0,1,0,0,0,0,0,48,8,1,2,8.27
0,0,0,1,0,0,0,0,0,22,160,0,2,3.59
0,0,0,1,0,0,0,0,0,8,160,0,2,1.5
0,0,0,0,0,0,0,0,1,8,8,1,2,1.43
0,1,0,0,0,0,1,0,0,44,320,0,2,6.43
0,1,0,0,0,1,0,0,0,22,8,0,1,3.79
0,0,0,0,0,0,0,0,1,22,160,0,4,6.54
0,0,0,1,0,1,0,0,0,44,8,0,1,8.86
0,1,0,0,0,0,0,0,0,44,8,0,1,8.11
0,0,0,1,0,0,0,0,0,48,8,1,3,7.58
0,1,0,0,0,0,0,0,0,8,8,0,2,1.94
0,0,0,0,0,0,0,0,1,8,160,0,4,2.7
0,1,0,0,0,0,0,0,0,48,8,2,3,4.11
0,0,0,0,0,0,0,0,1,8,8,2,3,2.43
0,0,0,0,0,0,0,0,1,8,8,2,1,2.43
0,1,0,0,0,0,0,0,0,44,8,0,2,4.6
0,0,0,0,1,0,0,0,1,22,320,0,2,7.18
0,0,0,0,0,0,0,0,1,8,8,0,2,2.33
0,0,0,0,0,0,0,0,1,48,8,1,3,9.25
0,0,0,1,0,0,0,0,0,22,160,0,2,4.55
0,0,1,0,0,0,0,0,1,44,8,0,4,9.93
0,1,0,0,0,1,0,0,0,8,8,0,1,1.92
0,0,0,0,0,0,0,0,1,48,8,2,3,9.46
0,0,0,0,0,0,0,0,1,44,8,0,4,11.44
0,1,0,0,0,0,0,0,0,8,8,0,3,1.92
1,1,0,0,0,0,0,0,0,8,8,0,3,2.01
0,0,0,0,0,0,0,0,1,8,8,1,2,2.33
0,0,0,0,0,0,0,0,1,22,8,1,2,5.65
0,1,0,0,0,0,0,1,0,44,8,1,2,7.26
0,0,0,0,0,0,0,0,1,8,8,1,2,2.37
0,0,0,0,0,1,0,0,1,22,8,1,1,4.05
0,0,0,0,0,0,0,0,1,44,8,1,2,6.85
0,0,0,0,0,0,0,0,1,22,8,1,2,5.59
0,0,0,0,0,0,0,0,1,22,8,1,1,5.62
0,0,0,1,0,0,0,0,0,48,8,1,3,5.77
0,0,0,1,0,0,0,0,0,22,8,1,3,4.45
0,1,0,0,0,0,0,0,0,48,8,1,1,6.41
0,0,0,0,0,0,0,0,1,44,8,1,3,6.68
0,1,0,0,0,0,0,0,0,22,8,1,3,2.38
0,0,0,0,0,0,0,0,1,22,8,1,3,4.08
0,0,0,1,0,0,1,0,0,48,8,1,1,7.82
0,0,0,0,0,0,0,0,1,22,8,1,3,5.59
0,0,0,0,0,1,0,0,1,48,8,1,1,9.35
0,1,0,0,0,0,0,0,0,8,8,1,1,1.61
0,0,0,0,0,0,0,0,1,48,8,1,3,9.35
0,1,0,0,0,0,0,0,0,8,8,1,4,1.56
0,0,0,0,0,0,0,0,1,48,8,1,4,9.29
0,0,0,1,0,0,0,0,0,48,8,1,4,5.81
0,0,0,1,0,0,0,0,0,22,8,1,1,4.32
0,0,0,0,0,1,0,0,1,8,8,1,1,2.34
0,0,0,1,0,1,0,0,0,8,8,1,1,1.13
0,0,0,1,0,0,0,0,0,48,8,1,3,7.85
0,0,0,1,0,0,0,0,0,22,8,1,2,4.61
0,0,1,1,0,0,0,0,0,22,8,1,2,4.5
0,1,0,0,0,0,0,0,0,8,8,1,3,1.6
1,0,0,1,0,0,0,0,0,44,8,1,2,7.39
0,0,0,0,0,1,0,0,1,48,160,0,1,10.2
0,0,0,0,0,0,0,1,1,8,160,0,2,2.85
0,0,0,0,0,0,0,0,1,8,8,0,4,2.33
0,0,0,0,0,1,0,0,1,48,8,1,1,7.15
0,0,0,0,0,1,0,0,1,44,320,0,1,10.59
0,0,0,0,0,0,0,0,1,8,320,0,2,2.81
0,0,0,0,0,0,0,0,1,44,8,0,3,10.65
0,0,0,0,0,0,0,0,1,48,8,0,3,7.84
0,0,0,0,0,0,0,0,1,44,160,0,2,10.33
0,0,0,0,0,0,0,0,1,8,8,0,3,2.67
0,0,0,0,0,0,0,0,1,8,8,0,2,1.66
0,0,0,0,0,1,0,0,1,8,160,0,1,2.77
0,0,0,0,0,0,0,0,1,44,160,0,2,8.94
0,0,0,0,0,0,0,0,1,44,8,0,3,10.7
0,0,0,0,0,0,0,0,1,22,8,0,4,4.21
0,0,0,0,0,0,0,0,1,22,8,0,3,4.3
0,0,0,0,0,0,0,0,1,8,8,0,4,1.66
0,0,0,0,0,0,1,0,1,48,8,0,3,11.38
0,0,0,0,0,0,0,0,1,22,8,0,2,6.67
0,0,0,0,0,0,0,0,1,22,160,0,1,6.41
0,0,0,0,0,1,0,0,1,48,8,0,1,10.07
0,0,0,0,0,0,0,0,1,48,8,0,1,11.19
0,0,0,0,0,0,0,0,1,44,8,2,3,9.26
0,0,0,0,0,1,0,0,1,22,8,0,1,5.57
0,0,0,0,0,0,0,0,1,48,320,0,4,10.23
0,0,0,0,0,0,0,0,1,22,8,0,4,4.35
0,0,0,0,0,0,0,0,1,48,8,0,3,9.77
0,0,0,0,0,0,0,0,1,8,8,0,3,2.83
0,0,0,0,0,0,0,0,1,48,8,2,3,7.12
0,0,0,0,1,0,0,0,1,8,160,0,3,2.85
0,0,0,0,0,0,0,0,1,48,8,0,2,9.37
0,0,0,0,0,0,0,0,1,44,8,0,3,10.16
0,0,1,0,0,0,0,0,1,8,8,0,3,2.74
0,0,0,0,0,0,0,0,1,22,8,0,4,6.34
0,0,0,0,0,0,0,0,1,44,8,2,2,9.21
0,0,0,0,0,0,0,0,1,8,8,0,3,2.76
1,0,0,0,0,0,0,0,1,8,8,0,2,2.67
0,0,0,1,0,0,0,1,0,48,320,0,3,8.6
0,1,0,0,0,0,0,0,0,22,8,1,4,2.27
0,0,0,1,0,0,0,0,0,44,320,0,2,9.12
0,0,0,1,0,0,0,0,0,8,160,0,3,2.24
0,0,0,0,0,0,0,0,1,22,8,0,2,6.05
0,1,0,0,0,0,0,0,0,48,8,0,2,5.31
0,1,0,0,0,0,0,0,0,22,8,0,2,4.59
0,0,0,1,0,0,0,0,0,44,8,0,2,9.25
0,1,0,0,0,0,0,0,0,48,8,0,2,5.2
0,0,0,0,0,0,0,0,1,44,320,0,2,10.43
0,0,0,0,0,0,0,0,1,22,8,0,4,6.36
0,0,0,1,0,0,0,0,0,44,320,0,4,8.55
0,0,0,1,0,0,0,0,0,8,8,0,2,1.4
0,0,0,1,0,1,0,0,0,48,8,0,1,6.81
0,0,0,0,0,0,0,0,1,44,160,0,4,8.12
0,1,0,0,0,0,1,0,0,8,160,0,4,2.02
0,0,0,1,0,0,0,0,0,22,8,0,3,4.49
0,0,0,1,0,0,0,0,0,48,160,0,4,8.73
0,0,0,0,0,1,0,0,1,44,160,0,1,10.34
0,0,0,0,0,0,0,0,1,44,320,0,1,10.49
0,0,0,0,0,1,0,0,1,48,8,1,1,9.29
0,0,0,1,0,0,0,0,0,8,8,0,3,2.75
0,0,0,0,0,0,0,0,1,44,320,0,4,10.4
0,0,0,1,0,0,0,0,0,22,8,0,2,3.41
0,1,0,0,0,0,0,0,0,22,8,0,3,4.37
0,0,0,0,0,0,0,0,1,8,8,0,3,2.71
0,0,0,1,0,0,0,0,0,8,8,0,3,1.41
0,1,0,0,1,0,0,0,0,22,8,0,4,4.38
0,1,0,0,0,0,0,0,0,44,8,0,2,6.09
0,1,0,0,0,0,0,0,0,48,160,0,3,6.77
0,0,0,1,0,0,0,0,0,48,160,0,4,8.73
0,0,1,0,0,0,0,0,1,22,8,0,2,6.45
0,0,0,1,0,0,0,0,0,22,8,0,2,5.23
0,0,0,1,0,0,0,0,0,8,8,2,2,1.93
0,1,0,0,0,0,0,0,0,22,8,0,1,4.38
0,1,0,0,0,0,0,0,0,22,8,2,4,4.17
1,0,0,0,0,1,0,0,1,8,160,0,1,2.66
0,1,0,0,0,0,0,1,0,8,160,0,1,1.99
0,0,0,0,0,0,0,1,1,44,320,0,2,8.0
0,0,0,0,0,0,0,1,1,22,320,0,2,6.57
0,1,0,0,0,0,0,1,0,22,8,0,2,3.88
0,1,0,0,0,0,0,1,0,22,8,0,4,4.51
0,0,0,1,0,0,0,1,0,22,8,0,1,3.58
0,0,0,0,0,0,0,1,1,44,8,0,2,11.68
0,0,0,0,0,0,0,1,1,22,8,0,4,5.96
0,1,0,0,0,0,0,1,0,22,8,0,3,2.77
0,1,0,0,0,0,0,1,0,44,320,0,3,7.4
0,0,0,1,0,0,0,1,0,22,160,0,4,5.39
0,1,0,0,0,0,0,1,0,22,8,0,2,4.26
0,1,0,0,0,0,0,1,0,8,8,0,4,1.05
0,0,0,0,0,0,0,1,1,48,320,0,2,8.73
0,1,0,0,0,0,0,1,0,44,8,0,2,4.65
0,0,0,0,0,0,1,1,1,22,8,2,4,6.47
0,0,0,1,0,0,0,1,0,22,8,0,3,4.44
0,0,0,0,0,0,0,1,1,44,160,0,1,11.63
0,1,0,0,0,1,0,1,0,8,320,0,1,2.0
0,0,0,0,0,0,0,1,1,48,8,0,1,10.82
0,0,0,1,0,0,0,1,0,8,8,1,3,1.87
0,1,0,0,0,0,0,1,0,48,8,2,2,6.5
0,0,0,0,0,0,0,1,1,8,160,0,4,2.84
0,0,0,0,0,0,0,1,1,8,8,0,4,1.69
0,0,0,0,0,0,0,1,1,44,8,1,2,8.99
0,0,0,0,0,0,0,1,1,8,320,0,2,2.79
0,0,0,1,0,0,0,1,0,48,8,0,1,6.41
0,0,0,1,1,0,0,1,0,8,320,0,2,2.65
0,0,0,0,0,0,0,1,1,48,8,0,2,9.66
0,0,0,0,0,0,0,1,1,8,8,0,3,2.63
0,0,0,1,0,0,0,1,0,48,8,0,3,8.67
0,0,1,1,0,0,0,1,0,48,8,0,3,8.33
0,1,0,0,0,0,0,1,0,44,8,0,3,7.15
0,1,0,0,0,0,0,1,0,44,8,2,2,7.44
0,0,0,0,0,0,0,1,1,44,8,0,4,9.73
0,1,0,0,0,0,0,1,0,8,8,0,3,2.01
1,1,0,0,0,1,0,1,0,48,8,1,1,6.39
0,0,0,0,0,0,0,0,1,48,8,1,2,7.14
