NoRes,NoReplayGain,Downmix,ReplayGainFast,Freeformat,Stereo,CRC,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,MPEGMode,time
1,1,1,0,1,0,1,1,0,8,160,0,3,2.04
1,0,1,0,1,0,1,1,1,48,320,0,4,5.33
1,1,1,0,1,0,1,1,0,48,320,0,3,7.47
1,1,1,0,1,0,1,1,0,22,8,0,2,3.7
1,1,1,0,1,0,1,0,0,8,8,0,3,2.21
1,1,1,0,1,0,1,1,0,22,160,0,2,3.92
1,0,1,1,0,0,1,1,0,48,8,0,2,7.93
1,1,1,0,1,0,1,1,0,8,8,0,3,1.74
1,0,1,0,1,0,1,1,1,48,160,0,2,8.98
1,0,1,0,1,1,1,1,1,22,8,0,1,3.93
1,1,1,0,1,0,1,1,0,48,8,0,3,7.7
1,0,1,1,1,0,1,1,0,8,8,0,3,2.59
1,0,1,1,0,0,1,1,0,48,8,0,2,8.23
1,1,1,0,1,0,1,1,0,22,160,0,4,1.81
1,0,1,1,1,0,1,1,0,8,8,0,3,2.11
1,0,1,0,1,0,1,1,1,8,8,0,2,2.4
1,0,1,1,1,0,1,1,0,22,160,0,2,5.85
1,0,1,0,1,0,1,1,1,8,320,0,2,2.6
1,1,1,0,1,0,0,1,0,8,320,0,2,2.02
1,0,1,0,1,0,1,1,1,44,320,0,2,7.29
1,0,1,0,1,0,1,1,1,44,320,0,2,7.13
1,0,1,1,1,0,1,1,0,22,160,0,4,2.29
1,0,1,0,1,0,1,1,1,44,320,0,4,4.08
1,1,1,0,1,0,1,1,0,44,160,0,3,5.19
1,1,1,0,1,0,1,1,0,48,320,0,2,7.38
1,0,1,1,1,0,1,1,0,22,160,0,2,4.33
1,0,1,0,1,0,1,1,1,8,8,0,1,2.6
1,0,1,1,1,0,1,1,0,8,8,0,3,1.92
1,1,1,0,1,0,1,1,0,22,320,0,4,2.07
1,1,1,0,1,0,1,1,0,8,8,0,2,2.0
1,1,1,0,0,0,1,1,0,8,8,0,2,1.88
1,1,1,0,1,0,1,1,0,8,8,0,3,1.93
1,1,1,0,1,0,1,1,0,22,8,0,4,1.83
1,1,1,0,1,0,1,1,0,8,320,0,2,2.07
1,0,0,1,1,0,1,1,0,8,8,0,1,1.46
1,1,1,0,1,0,1,1,0,8,8,0,4,0.96
1,1,1,0,1,0,1,1,0,8,160,0,4,1.08
1,0,1,0,1,0,1,1,1,8,320,0,4,1.57
1,0,1,0,1,0,1,1,1,44,320,0,2,7.35
0,1,0,0,0,0,0,0,0,48,8,0,4,5.4
0,0,0,0,0,0,0,0,1,44,8,0,2,11.89
0,0,0,1,0,0,0,0,0,44,8,0,3,9.16
0,1,0,0,0,1,0,0,0,22,8,0,1,5.72
0,0,0,0,0,0,0,0,1,8,8,0,3,3.5
0,0,0,0,0,1,0,0,1,8,8,0,1,3.19
0,0,0,0,0,0,0,1,1,44,8,0,3,11.38
0,0,0,0,0,0,0,0,1,8,8,0,3,3.83
0,1,0,0,0,0,0,0,0,22,8,0,2,3.67
0,0,0,0,0,0,0,0,1,22,8,0,4,4.61
0,0,0,0,0,0,0,0,1,44,8,0,2,6.95
0,1,0,0,0,0,0,0,0,48,8,0,2,12.26
0,0,0,1,0,1,0,0,0,44,8,0,1,6.8
0,0,0,0,0,0,0,0,1,48,8,0,3,9.25
0,1,0,0,0,0,0,0,0,8,8,0,4,1.57
0,0,0,0,0,0,0,0,1,44,8,0,3,10.85
0,0,0,0,0,0,0,0,1,44,8,0,2,6.93
0,0,0,0,0,0,0,0,1,22,8,0,2,5.09
0,0,0,0,0,1,0,0,1,48,8,0,1,7.73
0,0,0,1,0,0,1,0,0,48,8,0,3,13.02
0,1,0,0,0,0,0,0,0,22,8,0,3,6.33
0,1,0,0,0,1,0,0,0,22,8,0,1,5.76
0,1,0,0,0,0,0,0,0,44,8,0,1,10.78
0,0,0,1,0,0,0,0,0,8,8,0,3,3.38
0,0,0,1,0,0,0,0,0,22,8,0,4,3.76
0,0,0,1,0,0,0,0,0,22,8,0,3,4.46
0,1,0,0,0,0,0,0,0,22,8,0,2,6.12
0,0,0,1,0,0,0,0,0,8,8,0,1,2.69
0,0,0,1,0,0,0,0,0,8,8,0,4,1.23
0,1,0,0,0,0,0,0,0,44,8,0,3,9.41
0,0,0,1,0,0,0,0,0,22,8,0,3,6.72
0,0,1,1,0,0,0,0,0,22,8,0,2,6.66
0,1,0,0,0,0,0,0,0,44,8,0,2,9.61
1,1,0,0,0,0,0,0,0,48,8,0,2,12.13
0,0,0,0,0,0,0,0,1,48,8,0,3,12.69
0,0,0,1,0,0,0,0,0,44,8,0,4,4.99
0,0,0,0,0,0,0,0,1,8,8,0,3,3.3
0,1,0,0,0,0,0,0,0,22,8,0,1,3.81
0,0,0,0,0,0,0,0,1,44,8,0,2,10.32
0,1,0,0,0,0,0,0,0,8,8,0,2,3.23
0,0,0,1,0,0,0,1,0,48,8,0,2,10.48
0,1,0,0,0,0,0,0,0,22,8,0,2,4.66
0,0,0,1,0,0,0,0,0,8,8,0,3,2.55
0,0,0,0,0,0,0,0,1,8,8,0,3,3.2
0,0,0,1,0,0,0,0,0,22,8,0,4,2.74
0,0,0,1,0,0,0,0,0,22,8,0,2,4.75
0,0,0,0,0,0,0,0,1,8,8,0,2,3.42
0,0,0,0,0,0,0,0,1,22,8,0,2,5.03
0,0,0,1,0,0,0,0,0,8,8,0,4,1.95
0,0,0,1,0,0,0,0,0,22,8,0,2,4.79
0,0,0,0,0,0,0,0,1,48,8,0,3,9.56
0,0,0,1,0,0,0,0,0,8,8,0,2,2.5
0,0,0,1,0,1,0,0,0,8,8,0,1,1.77
0,0,0,1,0,1,1,0,0,48,8,0,1,9.56
0,1,0,0,0,0,0,0,0,22,8,0,3,4.89
0,1,0,0,0,1,0,0,0,8,8,0,1,2.46
0,0,0,0,0,0,0,0,1,22,8,0,1,4.71
0,0,0,0,0,1,0,0,1,22,8,0,1,4.64
0,0,0,0,0,0,0,0,1,44,8,0,4,5.71
0,1,0,0,0,0,0,0,0,22,8,0,3,4.12
0,1,0,0,0,0,0,0,0,22,8,0,2,4.42
0,0,0,0,0,1,0,0,1,8,8,0,1,3.13
0,0,0,1,0,0,0,0,0,48,8,0,2,8.16
0,1,0,0,0,0,0,0,0,8,8,0,3,2.86
0,0,0,1,0,0,0,0,0,44,8,0,2,8.99
0,1,1,0,0,0,0,0,0,44,8,0,4,4.29
0,1,0,0,0,0,0,0,0,48,8,0,4,5.45
1,0,0,0,0,0,0,0,1,22,8,0,4,4.0
0,0,0,0,0,0,0,0,1,48,8,0,1,11.92
0,0,0,0,0,0,0,0,1,48,8,1,2,11.11
0,0,0,0,0,0,0,0,1,48,8,1,2,12.77
0,0,0,0,0,0,0,0,1,48,8,0,3,14.63
0,0,0,0,0,0,0,0,1,48,8,1,1,11.63
0,1,0,0,0,0,0,1,0,48,160,0,4,4.93
0,0,0,1,0,0,0,0,0,48,160,0,3,11.44
0,1,0,0,0,0,0,0,0,48,8,0,3,6.93
0,1,0,0,0,0,0,0,0,48,320,0,2,11.7
0,0,0,0,0,0,0,0,1,48,320,0,2,15.33
0,0,0,0,0,0,0,0,1,48,8,0,4,8.21
0,0,0,1,0,0,0,0,0,48,160,0,3,8.41
0,0,0,1,0,0,0,0,0,48,8,0,2,11.73
0,1,0,0,0,0,0,0,0,48,8,0,2,10.18
0,0,0,0,0,1,0,0,1,48,8,0,1,7.49
0,0,0,1,0,0,0,0,0,48,320,0,2,13.46
0,1,0,0,0,0,0,0,0,48,8,2,2,8.61
0,0,0,0,0,0,0,0,1,48,8,0,1,11.22
0,1,0,0,0,0,0,0,0,48,8,0,2,7.62
0,0,0,1,0,0,0,0,0,48,320,0,3,9.37
0,0,0,0,0,0,0,0,1,48,320,0,2,9.64
0,1,0,0,0,0,1,0,0,48,8,0,3,11.75
0,1,0,0,0,0,0,0,0,48,160,0,3,12.42
0,0,0,0,0,1,0,0,1,48,320,0,1,12.93
0,0,0,0,0,0,0,0,1,48,320,0,1,13.83
0,0,0,1,0,0,0,0,0,48,8,2,3,10.42
0,1,0,0,0,0,0,0,0,48,8,2,2,9.32
0,0,0,1,0,0,0,0,0,48,8,0,4,6.46
0,0,0,1,0,0,0,0,0,48,8,0,3,7.95
0,0,0,0,0,0,0,0,1,48,8,0,4,7.13
0,0,0,0,0,0,0,0,1,48,320,0,4,5.6
0,1,0,0,1,0,0,0,0,48,320,0,2,11.67
0,1,0,0,0,0,0,0,0,48,8,0,4,4.9
0,0,0,1,0,0,0,0,0,48,320,0,3,12.9
0,0,0,1,0,0,0,0,0,48,8,0,3,13.29
0,1,1,0,0,0,0,0,0,48,320,0,4,5.59
0,1,0,0,0,0,0,0,0,48,8,0,4,5.59
0,1,0,0,0,0,0,0,0,48,8,2,3,9.43
0,0,0,0,0,0,0,0,1,48,8,0,2,13.3
0,1,0,0,0,0,0,0,0,48,8,0,2,11.7
1,0,0,0,0,0,0,0,1,48,8,0,4,6.53
0,0,0,0,0,0,0,0,1,44,320,0,2,10.72
0,0,0,1,0,0,0,0,0,44,8,0,2,9.94
0,0,0,0,0,0,0,0,1,44,8,1,3,9.79
0,0,0,0,0,0,0,0,1,44,8,0,3,10.25
0,1,0,0,0,0,0,0,0,44,8,0,2,8.91
0,0,0,0,0,0,0,1,1,44,8,0,3,10.15
0,1,0,0,0,0,0,0,0,44,320,0,3,6.99
0,1,0,0,0,0,0,0,0,44,8,0,2,5.8
0,0,0,0,0,0,0,0,1,44,320,0,4,6.29
0,0,0,1,0,0,0,0,0,44,160,0,3,10.77
0,1,0,0,0,0,0,0,0,44,8,0,4,4.65
0,1,0,0,0,0,0,0,0,44,320,0,2,5.62
0,1,0,0,0,0,0,0,0,44,8,0,2,9.03
0,1,0,0,0,0,0,0,0,44,8,0,3,6.85
0,0,0,1,0,0,0,0,0,44,160,0,3,6.12
0,0,0,1,0,0,0,0,0,44,8,0,2,9.83
0,0,0,1,0,0,0,0,0,44,320,0,2,7.83
0,0,0,1,0,1,0,0,0,44,8,1,1,6.75
0,0,0,0,0,0,0,0,1,44,8,0,3,6.79
0,0,0,1,0,0,0,0,0,44,8,0,2,6.04
0,0,0,1,0,0,0,0,0,44,8,0,3,6.09
0,0,0,0,0,0,1,0,1,44,160,0,4,6.15
0,0,0,1,0,1,0,0,0,44,160,0,1,10.71
0,1,0,0,0,1,0,0,0,44,8,0,1,9.92
0,0,0,0,0,0,0,0,1,44,8,1,1,9.27
0,1,0,0,0,0,0,0,0,44,8,0,2,7.66
0,0,0,0,0,0,0,0,1,44,8,0,4,6.24
0,0,0,1,0,0,0,0,0,44,8,0,4,4.81
0,0,0,1,0,0,0,0,0,44,8,0,3,6.53
0,1,0,0,0,0,0,0,0,44,8,0,2,8.41
0,0,0,0,0,1,0,0,1,44,320,0,1,5.83
0,0,0,0,1,0,0,0,1,44,320,0,2,11.87
0,1,0,0,0,0,0,0,0,44,8,0,4,3.8
0,0,0,0,0,0,0,0,1,44,160,0,3,12.11
0,0,0,1,0,0,0,0,0,44,8,0,1,8.61
0,0,1,0,0,0,0,0,1,44,8,0,2,10.43
0,0,0,0,0,0,0,0,1,44,8,0,3,11.68
0,1,0,0,0,1,0,0,0,44,8,2,1,6.64
0,0,0,0,0,0,0,0,1,44,8,0,4,5.21
0,1,0,0,0,0,0,0,0,44,8,1,2,7.24
1,0,0,0,0,0,0,0,1,44,160,0,1,12.51
0,0,0,0,0,0,0,0,1,8,8,2,3,3.0
0,1,0,0,0,0,0,0,0,44,8,1,2,6.44
0,0,0,0,0,0,0,0,1,8,8,0,1,2.9
0,0,0,0,0,0,0,1,1,44,8,0,3,9.81
0,1,0,0,0,0,0,0,0,8,8,0,2,1.93
0,0,0,0,0,0,0,0,1,44,320,0,3,10.6
0,1,0,0,0,0,0,0,0,22,8,0,3,4.36
0,0,0,0,0,0,0,0,1,48,8,0,3,12.61
0,0,0,1,0,0,0,0,0,8,8,0,3,1.66
0,0,0,1,0,0,0,0,0,22,8,0,2,5.61
0,0,0,0,0,0,0,0,1,22,8,0,3,6.74
0,0,0,1,0,0,0,0,0,8,8,0,3,2.11
0,1,0,0,0,0,0,0,0,22,160,0,2,6.2
0,1,0,0,0,0,0,0,0,22,320,0,2,6.54
0,0,0,0,0,0,0,0,1,44,8,0,4,5.79
0,1,0,0,0,0,0,0,0,22,8,0,2,3.86
0,1,0,0,0,0,0,0,0,8,8,2,1,1.19
0,1,0,0,0,1,0,0,0,8,8,2,1,1.19
0,0,0,0,0,1,1,0,1,22,160,0,1,7.21
0,0,0,0,0,0,0,0,1,22,160,0,3,7.89
0,0,0,0,0,0,0,0,1,22,160,0,1,7.26
0,0,0,0,0,1,0,0,1,48,8,2,1,10.41
0,0,0,0,0,0,0,0,1,44,320,0,1,9.09
0,0,0,0,0,0,0,0,1,22,8,2,2,6.68
0,1,0,0,0,0,0,0,0,48,8,1,2,8.59
0,1,0,0,0,0,0,0,0,8,320,0,4,1.66
0,1,0,0,0,0,0,0,0,22,320,0,1,3.49
0,0,0,1,0,1,0,0,0,48,8,0,1,9.89
0,0,0,1,0,0,0,0,0,8,160,0,2,2.84
0,1,0,0,0,0,0,0,0,44,8,0,2,5.08
0,1,0,0,1,0,0,0,0,8,320,0,2,2.87
0,0,0,0,0,0,0,0,1,8,8,0,1,2.81
0,0,0,0,0,0,0,0,1,48,8,0,3,11.32
0,0,0,1,0,0,0,0,0,22,160,0,3,6.77
0,1,1,0,0,0,0,0,0,48,8,2,3,8.63
0,0,0,0,0,0,0,0,1,48,8,0,2,12.7
0,0,0,1,0,1,0,0,0,22,8,2,1,5.32
0,1,0,0,0,0,0,0,0,8,8,0,4,1.7
0,1,0,0,0,0,0,0,0,8,8,0,3,2.31
1,1,0,0,0,0,0,0,0,22,320,0,3,6.53
0,0,0,0,0,1,0,0,1,22,8,1,1,5.79
0,0,0,0,0,0,0,0,1,22,8,1,3,6.76
0,0,0,1,0,0,0,0,0,8,320,0,4,1.7
0,0,0,0,0,0,0,1,1,8,160,0,3,3.22
0,0,0,1,0,0,0,0,0,22,8,1,1,4.71
0,0,0,1,0,0,0,0,0,22,160,0,4,2.92
0,0,0,0,0,0,0,0,1,48,320,0,3,11.5
0,0,0,1,0,0,0,0,0,8,8,0,3,2.87
0,0,0,1,0,0,0,0,0,22,8,0,4,3.76
0,0,0,0,0,0,0,0,1,22,8,0,3,4.94
0,1,0,0,0,0,0,0,0,44,8,0,2,9.44
0,0,0,0,0,0,0,0,1,44,8,0,2,10.93
0,0,0,0,0,0,0,0,1,48,8,0,2,9.15
0,1,0,0,0,1,0,0,0,8,160,0,1,2.58
0,0,0,1,0,0,0,0,0,22,160,0,3,6.85
0,0,0,1,0,0,0,0,0,48,8,1,2,10.42
0,0,0,1,0,0,0,0,0,22,160,0,2,4.47
0,0,0,1,0,0,0,0,0,8,160,0,2,2.56
0,0,0,0,0,0,0,0,1,8,8,1,2,2.04
0,1,0,0,0,0,1,0,0,44,320,0,2,6.78
0,1,0,0,0,1,0,0,0,22,8,0,1,4.97
0,0,0,0,0,0,0,0,1,22,160,0,4,4.37
0,0,0,1,0,1,0,0,0,44,8,0,1,7.76
0,1,0,0,0,0,0,0,0,44,8,0,1,6.97
0,0,0,1,0,0,0,0,0,48,8,1,3,8.79
0,1,0,0,0,0,0,0,0,8,8,0,2,3.25
0,0,0,0,0,0,0,0,1,8,160,0,4,2.27
0,1,0,0,0,0,0,0,0,48,8,2,3,5.6
0,0,0,0,0,0,0,0,1,8,8,2,3,3.01
0,0,0,0,0,0,0,0,1,8,8,2,1,2.82
0,1,0,0,0,0,0,0,0,44,8,0,2,5.13
0,0,0,0,1,0,0,0,1,22,320,0,2,7.82
0,0,0,0,0,0,0,0,1,8,8,0,2,3.0
0,0,0,0,0,0,0,0,1,48,8,1,3,12.2
0,0,0,1,0,0,0,0,0,22,160,0,2,5.84
0,0,1,0,0,0,0,0,1,44,8,0,4,5.11
0,1,0,0,0,1,0,0,0,8,8,0,1,2.46
0,0,0,0,0,0,0,0,1,48,8,2,3,11.2
0,0,0,0,0,0,0,0,1,44,8,0,4,5.97
0,1,0,0,0,0,0,0,0,8,8,0,3,2.8
1,1,0,0,0,0,0,0,0,8,8,0,3,2.8
0,0,0,0,0,0,0,0,1,8,8,1,2,2.97
0,0,0,0,0,0,0,0,1,22,8,1,2,6.69
0,1,0,0,0,0,0,1,0,44,8,1,2,7.32
0,0,0,0,0,0,0,0,1,8,8,1,2,3.02
0,0,0,0,0,1,0,0,1,22,8,1,1,3.67
0,0,0,0,0,0,0,0,1,44,8,1,2,5.65
0,0,0,0,0,0,0,0,1,22,8,1,2,6.75
0,0,0,0,0,0,0,0,1,22,8,1,1,6.89
0,0,0,1,0,0,0,0,0,48,8,1,3,6.71
0,0,0,1,0,0,0,0,0,22,8,1,3,5.73
0,1,0,0,0,0,0,0,0,48,8,1,1,8.92
0,0,0,0,0,0,0,0,1,44,8,1,3,5.63
0,1,0,0,0,0,0,0,0,22,8,1,3,3.01
0,0,0,0,0,0,0,0,1,22,8,1,3,4.25
0,0,0,1,0,0,1,0,0,48,8,1,1,9.92
0,0,0,0,0,0,0,0,1,22,8,1,3,7.17
0,0,0,0,0,1,0,0,1,48,8,1,1,12.29
0,1,0,0,0,0,0,0,0,8,8,1,1,2.15
0,0,0,0,0,0,0,0,1,48,8,1,3,12.22
0,1,0,0,0,0,0,0,0,8,8,1,4,1.35
0,0,0,0,0,0,0,0,1,48,8,1,4,7.13
0,0,0,1,0,0,0,0,0,48,8,1,4,3.7
0,0,0,1,0,0,0,0,0,22,8,1,1,4.51
0,0,0,0,0,1,0,0,1,8,8,1,1,2.82
0,0,0,1,0,1,0,0,0,8,8,1,1,1.36
0,0,0,1,0,0,0,0,0,48,8,1,3,10.42
0,0,0,1,0,0,0,0,0,22,8,1,2,5.61
0,0,1,1,0,0,0,0,0,22,8,1,2,5.66
0,1,0,0,0,0,0,0,0,8,8,1,3,2.33
1,0,0,1,0,0,0,0,0,44,8,1,2,8.37
0,0,0,0,0,1,0,0,1,48,160,0,1,14.94
0,0,0,0,0,0,0,1,1,8,160,0,2,3.34
0,0,0,0,0,0,0,0,1,8,8,0,4,1.87
0,0,0,0,0,1,0,0,1,48,8,1,1,6.85
0,0,0,0,0,1,0,0,1,44,320,0,1,10.58
0,0,0,0,0,0,0,0,1,8,320,0,2,3.32
0,0,0,0,0,0,0,0,1,44,8,0,3,10.43
0,0,0,0,0,0,0,0,1,48,8,0,3,9.98
0,0,0,0,0,0,0,0,1,44,160,0,2,12.01
0,0,0,0,0,0,0,0,1,8,8,0,3,3.49
0,0,0,0,0,0,0,0,1,8,8,0,2,2.68
0,0,0,0,0,1,0,0,1,8,160,0,1,3.1
0,0,0,0,0,0,0,0,1,44,160,0,2,9.93
0,0,0,0,0,0,0,0,1,44,8,0,3,10.45
0,0,0,0,0,0,0,0,1,22,8,0,4,3.14
0,0,0,0,0,0,0,0,1,22,8,0,3,4.86
0,0,0,0,0,0,0,0,1,8,8,0,4,1.47
0,0,0,0,0,0,1,0,1,48,8,0,3,12.54
0,0,0,0,0,0,0,0,1,22,8,0,2,7.8
0,0,0,0,0,0,0,0,1,22,160,0,1,7.28
0,0,0,0,0,1,0,0,1,48,8,0,1,15.5
0,0,0,0,0,0,0,0,1,48,8,0,1,11.4
0,0,0,0,0,0,0,0,1,44,8,2,3,9.73
0,0,0,0,0,1,0,0,1,22,8,0,1,6.85
0,0,0,0,0,0,0,0,1,48,320,0,4,7.7
0,0,0,0,0,0,0,0,1,22,8,0,4,3.11
0,0,0,0,0,0,0,0,1,48,8,0,3,12.82
0,0,0,0,0,0,0,0,1,8,8,0,3,3.38
0,0,0,0,0,0,0,0,1,48,8,2,3,7.79
0,0,0,0,1,0,0,0,1,8,160,0,3,3.56
0,0,0,0,0,0,0,0,1,48,8,0,2,12.5
0,0,0,0,0,0,0,0,1,44,8,0,3,11.9
0,0,1,0,0,0,0,0,1,8,8,0,3,3.5
0,0,0,0,0,0,0,0,1,22,8,0,4,4.43
0,0,0,0,0,0,0,0,1,44,8,2,2,9.69
0,0,0,0,0,0,0,0,1,8,8,0,3,3.54
1,0,0,0,0,0,0,0,1,8,8,0,2,3.43
0,0,0,1,0,0,0,1,0,48,320,0,3,12.55
0,1,0,0,0,0,0,0,0,22,8,1,4,1.56
0,0,0,1,0,0,0,0,0,44,320,0,2,10.08
0,0,0,1,0,0,0,0,0,8,160,0,3,2.91
0,0,0,0,0,0,0,0,1,22,8,0,2,5.67
0,1,0,0,0,0,0,0,0,48,8,0,2,7.1
0,1,0,0,0,0,0,0,0,22,8,0,2,4.61
0,0,0,1,0,0,0,0,0,44,8,0,2,9.65
0,1,0,0,0,0,0,0,0,48,8,0,2,7.47
0,0,0,0,0,0,0,0,1,44,320,0,2,12.05
0,0,0,0,0,0,0,0,1,22,8,0,4,4.17
0,0,0,1,0,0,0,0,0,44,320,0,4,5.11
0,0,0,1,0,0,0,0,0,8,8,0,2,2.55
0,0,0,1,0,1,0,0,0,48,8,0,1,6.91
0,0,0,0,0,0,0,0,1,44,160,0,4,3.97
0,1,0,0,0,0,1,0,0,8,160,0,4,1.61
0,0,0,1,0,0,0,0,0,22,8,0,3,5.66
0,0,0,1,0,0,0,0,0,48,160,0,4,6.35
0,0,0,0,0,1,0,0,1,44,160,0,1,12.35
0,0,0,0,0,0,0,0,1,44,320,0,1,10.64
0,0,0,0,0,1,0,0,1,48,8,1,1,11.61
0,0,0,1,0,0,0,0,0,8,8,0,3,2.98
0,0,0,0,0,0,0,0,1,44,320,0,4,6.38
0,0,0,1,0,0,0,0,0,22,8,0,2,4.23
0,1,0,0,0,0,0,0,0,22,8,0,3,4.94
0,0,0,0,0,0,0,0,1,8,8,0,3,3.32
0,0,0,1,0,0,0,0,0,8,8,0,3,2.59
0,1,0,0,1,0,0,0,0,22,8,0,4,3.01
0,1,0,0,0,0,0,0,0,44,8,0,2,7.67
0,1,0,0,0,0,0,0,0,48,160,0,3,11.97
0,0,0,1,0,0,0,0,0,48,160,0,4,6.56
0,0,1,0,0,0,0,0,1,22,8,0,2,8.15
0,0,0,1,0,0,0,0,0,22,8,0,2,6.72
0,0,0,1,0,0,0,0,0,8,8,2,2,2.47
0,1,0,0,0,0,0,0,0,22,8,0,1,3.66
0,1,0,0,0,0,0,0,0,22,8,2,4,2.89
1,0,0,0,0,1,0,0,1,8,160,0,1,3.09
0,1,0,0,0,0,0,1,0,8,160,0,1,2.15
0,0,0,0,0,0,0,1,1,44,320,0,2,7.82
0,0,0,0,0,0,0,1,1,22,320,0,2,7.22
0,1,0,0,0,0,0,1,0,22,8,0,2,4.26
0,1,0,0,0,0,0,1,0,22,8,0,4,2.98
0,0,0,1,0,0,0,1,0,22,8,0,1,3.38
0,0,0,0,0,0,0,1,1,44,8,0,2,11.63
0,0,0,0,0,0,0,1,1,22,8,0,4,3.36
0,1,0,0,0,0,0,1,0,22,8,0,3,4.06
0,1,0,0,0,0,0,1,0,44,320,0,3,9.75
0,0,0,1,0,0,0,1,0,22,160,0,4,3.46
0,1,0,0,0,0,0,1,0,22,8,0,2,5.21
0,1,0,0,0,0,0,1,0,8,8,0,4,0.95
0,0,0,0,0,0,0,1,1,48,320,0,2,9.61
0,1,0,0,0,0,0,1,0,44,8,0,2,5.15
0,0,0,0,0,0,1,1,1,22,8,2,4,4.11
0,0,0,1,0,0,0,1,0,22,8,0,3,4.75
0,0,0,0,0,0,0,1,1,44,160,0,1,9.3
0,1,0,0,0,1,0,1,0,8,320,0,1,2.17
0,0,0,0,0,0,0,1,1,48,8,0,1,11.97
0,0,0,1,0,0,0,1,0,8,8,1,3,2.49
0,1,0,0,0,0,0,1,0,48,8,2,2,9.44
0,0,0,0,0,0,0,1,1,8,160,0,4,2.1
0,0,0,0,0,0,0,1,1,8,8,0,4,1.35
0,0,0,0,0,0,0,1,1,44,8,1,2,7.97
0,0,0,0,0,0,0,1,1,8,320,0,2,3.22
0,0,0,1,0,0,0,1,0,48,8,0,1,6.42
0,0,0,1,1,0,0,1,0,8,320,0,2,2.96
0,0,0,0,0,0,0,1,1,48,8,0,2,12.39
0,0,0,0,0,0,0,1,1,8,8,0,3,2.89
0,0,0,1,0,0,0,1,0,48,8,0,3,10.25
0,0,1,1,0,0,0,1,0,48,8,0,3,10.74
0,1,0,0,0,0,0,1,0,44,8,0,3,10.18
0,1,0,0,0,0,0,1,0,44,8,2,2,7.31
0,0,0,0,0,0,0,1,1,44,8,0,4,4.97
0,1,0,0,0,0,0,1,0,8,8,0,3,2.57
1,1,0,0,0,1,0,1,0,48,8,1,1,8.52
0,0,0,0,0,0,0,0,1,48,8,1,2,8.1
