new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,performance
4,0,0,1,1,80,16,8,124770.4
4,1,0,0,0,90,8,2,9125.0
3,0,1,1,1,90,2,0,13104.6
2,0,1,1,1,0,8,10,131606.8
2,1,1,1,1,100,512,10,102656.4
5,0,1,0,0,100,64,8,121691.0
1,1,1,1,0,100,16,10,105688.8
5,0,1,0,0,50,64,6,47515.0
4,0,1,0,0,90,2,10,180853.8
2,0,1,0,0,20,2048,2,5025.8
4,1,1,0,1,0,256,0,11891.8
3,1,1,1,0,10,1024,2,12505.4
5,1,1,1,1,70,8,6,47481.8
3,0,1,1,0,10,2,0,13139.6
2,1,0,1,0,0,512,6,123674.4
1,0,1,0,0,40,1,6,78420.0
2,1,0,1,1,90,4096,10,102883.6
1,0,1,0,1,40,256,2,17680.6
3,1,0,1,1,40,4096,6,10620.6
2,1,1,0,1,40,256,10,101327.2
2,1,1,0,1,50,4096,2,4851.2
4,1,1,1,0,80,512,8,125023.0
1,0,0,0,0,60,16,0,17661.8
1,0,1,0,1,100,256,2,17678.6
2,1,0,0,0,90,512,0,4703.4
1,0,1,1,1,90,8,0,17686.2
3,1,0,1,1,50,2048,2,12130.6
5,0,0,1,1,90,1,6,47342.6
1,0,0,1,1,40,128,6,90986.4
5,0,1,0,0,20,2,10,301630.4
2,0,0,0,0,70,16,10,95031.8
3,0,0,0,0,80,2048,8,38022.8
1,0,1,1,0,60,4096,4,11795.4
5,1,0,1,0,80,128,6,47465.0
1,0,0,0,1,40,1,8,83390.0
2,1,0,0,0,90,128,4,4344.8
1,1,1,0,0,100,8,2,17678.2
4,1,0,0,1,90,2,8,58704.6
5,1,1,1,1,90,4,10,298463.8
5,0,1,0,0,50,4096,0,9207.6
2,0,1,1,0,30,2048,0,17652.4
3,1,0,0,1,0,16,2,15926.4
5,1,1,0,1,90,4,2,9222.2
4,0,1,1,1,20,32,4,43232.4
1,0,1,0,0,100,512,6,89324.4
2,0,1,1,1,90,32,0,17633.8
5,1,1,0,0,80,64,2,9191.4
1,0,0,0,1,80,4096,6,89580.4
4,0,1,0,1,80,1,8,82085.0
2,0,0,1,1,10,1024,6,93632.0
5,1,0,0,1,20,1,4,9162.6
5,0,1,0,1,40,32,0,9155.6
4,1,0,1,0,80,256,8,124966.2
2,1,1,0,1,60,16,10,96180.6
3,1,0,0,1,70,8,8,37242.8
4,1,0,1,1,70,256,0,35774.6
2,0,0,1,0,90,512,10,102876.6
3,1,0,0,1,30,4,4,12827.6
4,0,1,0,0,50,64,10,113731.8
3,1,1,1,0,30,1,4,14347.8
5,1,0,1,0,40,1,8,120974.4
1,0,1,0,1,70,4,2,17707.8
5,1,1,1,1,50,32,8,121213.2
4,1,0,1,1,90,512,2,35762.6
5,0,0,1,1,80,4,8,121074.6
1,1,0,1,1,60,128,4,11805.0
1,1,0,0,0,90,8,0,17927.2
2,0,0,1,1,0,512,10,131420.2
5,0,1,0,1,100,32,4,9199.4
5,1,0,0,0,80,256,10,298789.8
5,1,0,0,1,80,4,10,300190.0
2,1,0,0,0,20,2,0,7482.0
3,0,1,0,0,0,2048,6,20928.2
5,0,1,0,0,70,8,8,121532.6
2,1,0,1,0,90,32,8,103665.2
2,0,0,0,0,90,4,0,5479.8
1,1,0,1,0,100,2048,8,102666.4
4,1,0,1,0,90,1024,10,416216.0
3,0,0,0,1,70,64,6,10666.0
1,1,0,1,1,0,128,0,17913.2
5,1,1,0,1,10,64,4,9136.8
4,1,0,1,1,80,1024,4,43567.6
4,1,1,1,1,0,8,2,35288.8
1,1,1,1,0,20,256,4,12032.0
3,1,1,1,1,50,16,0,12171.8
3,1,0,0,0,50,2,2,13306.6
2,1,1,1,0,40,8,0,17617.6
2,0,1,1,1,100,2,2,17578.2
1,1,0,0,1,0,8,8,85211.4
5,0,1,0,0,90,64,0,9168.0
5,0,0,1,1,60,1024,6,47647.8
2,1,1,0,1,70,64,0,4756.6
2,1,1,1,0,70,16,6,93930.4
3,1,0,1,0,40,32,4,12081.2
5,0,1,1,1,50,512,2,9164.8
3,1,1,0,0,100,1024,6,10542.4
2,1,1,1,1,80,8,6,98560.8
5,0,0,1,1,50,512,0,9199.8
2,0,0,1,0,40,32,6,91773.8
3,0,1,1,0,50,512,0,12314.6
3,0,0,0,1,80,64,6,10596.0
2,0,0,1,0,60,4,0,17680.0
4,1,0,0,0,20,1,4,20271.8
1,1,1,0,1,40,8,10,85976.2
2,1,0,0,0,50,512,4,4557.8
5,1,0,0,1,70,2048,8,121642.0
3,1,1,1,1,0,4096,10,48165.2
1,1,1,1,1,90,64,0,17780.8
3,0,1,1,0,0,16,10,48264.4
1,0,1,1,0,40,32,8,103541.0
1,0,0,0,0,0,1,0,18009.4
1,1,0,0,1,50,32,10,99721.6
5,1,0,1,1,60,4096,0,9344.4
3,1,1,0,1,100,64,8,37768.8
2,0,0,1,1,40,16,8,105283.0
1,1,1,1,0,50,64,0,17776.6
4,0,0,1,1,60,64,2,35793.8
1,0,0,0,0,50,4,6,72628.2
3,1,1,0,1,90,4,0,12744.6
4,0,0,0,0,50,512,10,113530.0
5,1,1,0,0,80,64,6,47713.2
1,0,1,1,0,0,64,10,131929.6
5,0,1,1,0,80,16,2,9162.8
5,0,0,0,1,80,4096,2,9161.2
1,0,1,1,0,10,1,4,15262.4
3,1,0,1,0,90,64,0,12212.8
2,1,1,1,0,80,1,6,116211.6
5,0,0,0,1,50,4096,4,9174.4
3,1,0,1,1,50,4,4,12984.0
3,1,1,1,0,10,16,10,49682.0
3,1,0,0,0,10,2048,4,12444.2
4,1,1,1,0,10,1024,6,48530.6
1,0,1,1,1,30,512,6,91569.2
3,1,1,1,1,80,4,0,12916.2
5,0,1,1,0,100,4096,0,9318.4
2,0,1,0,0,90,64,6,89714.8
4,0,1,1,0,80,8,0,35485.6
5,1,1,0,0,0,2048,4,9303.8
1,1,0,0,1,90,16,0,17696.6
3,0,1,0,1,90,256,8,37668.6
3,0,1,1,0,100,2,6,15685.0
5,0,0,0,1,30,8,8,121346.6
5,0,0,1,0,90,64,2,9175.2
5,0,1,0,1,50,1,6,47193.0
5,1,1,1,1,50,256,6,47590.0
1,0,1,0,1,100,1,2,17668.8
5,0,0,1,0,30,512,4,9197.8
3,1,1,0,1,90,8,10,47363.4
5,1,1,1,0,60,2048,0,9196.2
1,0,0,0,0,30,1024,10,100534.6
2,0,1,1,0,70,128,4,11870.6
3,0,1,1,1,50,512,10,48641.2
5,0,1,0,0,80,128,10,300243.6
2,0,0,1,1,70,4096,2,17834.0
1,1,0,0,1,0,1024,6,82118.4
1,1,0,0,1,90,64,10,102435.4
2,0,1,1,0,30,2,8,117705.4
3,0,0,1,0,60,512,6,10589.2
5,0,0,0,1,40,8,0,9154.0
5,1,0,0,0,80,1024,0,9289.2
1,0,0,0,0,0,64,6,81990.4
2,0,1,1,0,70,8,6,98576.8
4,0,1,0,1,10,8,6,23761.2
3,1,0,0,0,90,16,8,37485.2
4,0,1,1,0,100,64,6,49638.8
3,1,0,1,1,100,128,2,12302.2
2,0,1,1,0,100,4,4,12437.6
4,0,1,1,0,100,64,0,35759.6
3,1,0,1,0,50,1024,6,10762.6
2,0,1,1,0,40,16,0,17651.4
1,1,1,0,1,20,256,6,89582.2
3,1,1,1,1,0,4,2,15887.8
1,0,0,1,0,80,1,0,17748.4
5,0,1,0,1,60,1024,8,122151.0
5,1,0,1,1,90,128,4,9182.4
1,1,1,1,0,60,1,6,116474.4
3,1,1,1,0,100,8,4,12405.2
5,1,1,0,1,90,2048,0,9131.4
2,1,0,1,1,80,128,2,17697.4
2,1,1,0,0,0,4096,4,18005.4
5,1,1,0,1,50,128,2,9151.0
3,0,1,0,1,70,1,10,50192.0
2,1,0,1,0,30,64,6,91621.2
4,1,0,0,1,100,256,6,19180.6
3,1,0,0,1,90,1024,0,12219.8
5,0,0,0,0,60,16,10,300448.8
4,0,0,1,1,10,64,6,48649.8
3,1,1,1,0,90,16,10,47690.2
4,1,0,1,1,90,256,10,416058.8
3,0,1,0,1,40,512,0,12088.0
2,0,0,0,0,60,256,0,4721.0
2,1,1,1,0,20,2048,0,17697.8
2,0,0,1,1,80,2048,10,102777.8
3,0,0,1,0,70,256,0,12202.0
1,1,0,1,1,60,32,8,103719.4
5,1,0,1,0,70,128,2,9203.2
2,0,0,0,0,0,2048,10,85264.2
4,0,0,1,0,30,64,0,35626.8
5,1,0,1,1,30,64,6,47566.0
4,1,1,0,1,40,32,2,8964.4
3,0,0,0,1,50,256,0,12204.4
5,1,1,0,1,100,4,2,9232.6
4,1,1,0,0,40,1024,6,20049.8
3,1,0,0,1,50,8,2,12523.4
2,1,0,0,1,90,512,6,83255.4
2,0,1,0,0,0,8,10,85214.4
3,1,1,1,0,80,64,10,48569.2
1,1,0,1,1,100,2,4,13344.0
1,1,0,1,0,80,256,10,102841.8
3,1,1,1,1,100,4,0,12748.2
2,0,1,1,0,0,256,4,18442.0
1,0,1,1,0,10,4,8,114796.8
1,0,1,1,0,90,64,10,102628.2
4,1,0,0,0,20,16,8,42777.8
1,0,1,1,0,50,2048,2,17754.0
5,0,0,0,0,70,64,6,47480.8
2,0,1,1,1,70,8,10,109200.6
2,1,1,1,0,80,4096,10,102591.0
2,1,0,1,1,90,512,10,103032.0
3,0,1,0,1,100,4,6,13608.0
3,1,0,1,1,10,1,10,50195.8
1,1,0,0,0,10,4,4,12566.0
1,0,1,0,0,0,2048,6,82358.8
3,0,0,0,0,0,4,0,15894.4
4,1,1,1,0,40,4096,2,35898.6
2,1,0,0,0,0,4,2,11411.0
3,0,0,0,0,60,16,0,12312.6
2,1,1,1,0,20,256,4,12085.4
5,1,1,0,1,50,16,2,9113.4
2,1,1,0,0,70,1,8,83037.0
5,1,0,1,0,90,4096,8,121569.4
3,1,1,1,1,50,32,2,12183.4
4,0,0,0,0,80,16,8,41752.8
4,1,0,0,0,40,8,8,48934.2
4,1,1,1,0,80,8,4,43495.8
5,0,1,0,0,20,2,4,9102.0
5,1,1,1,1,40,4,4,9178.6
3,1,0,1,1,30,64,4,12115.8
3,1,1,1,1,80,512,10,48776.2
1,1,0,0,1,30,2,10,80141.4
3,0,0,0,1,50,1,10,50266.2
5,1,0,1,0,10,256,8,121718.6
5,0,1,1,1,50,1024,8,121785.4
1,1,1,0,1,70,2048,8,100773.6
3,1,1,0,1,50,256,10,48755.2
1,0,1,1,0,60,512,2,17741.0
3,1,0,0,0,70,128,10,48533.8
1,0,1,1,1,10,32,6,93938.0
1,0,0,0,0,50,128,4,11802.8
3,1,1,1,1,40,4,2,12899.8
4,0,1,0,0,90,1,6,34995.6
5,0,1,0,1,40,32,4,9171.8
4,0,1,1,1,80,64,4,43587.0
2,1,1,0,1,30,4096,8,100487.2
2,0,1,0,1,50,512,8,101091.2
3,0,1,1,1,100,256,4,12325.6
5,1,0,0,0,70,1024,6,47703.6
3,1,0,0,0,100,4096,2,12322.2
5,1,0,0,0,20,4,2,9170.0
3,1,0,0,1,10,512,6,11800.6
5,0,0,1,0,60,4,0,9183.6
3,0,0,0,0,50,128,2,12139.6
3,1,1,1,0,10,1024,8,39262.6
2,0,1,0,0,70,16,6,84169.4
3,0,1,1,0,0,1024,0,15925.0
4,1,1,1,1,50,4096,10,416667.6
2,1,0,1,1,90,256,2,17570.2
4,1,1,1,1,90,64,10,415961.0
3,1,0,1,1,60,4096,10,48519.8
1,1,0,1,1,40,16,6,93728.2
2,0,0,0,0,10,512,8,99392.4
4,1,0,0,1,60,8,8,48461.0
2,0,1,1,1,50,2,10,117431.8
1,1,1,0,0,0,512,10,85280.4
4,1,1,0,0,50,1024,0,8949.6
5,1,0,1,1,80,4096,10,298655.0
4,0,1,1,0,50,1,4,42739.2
2,0,0,0,1,90,4,2,5482.6
1,1,1,1,0,70,2048,2,17757.8
1,1,1,1,0,70,4,2,17670.6
1,1,1,1,0,90,64,6,90832.0
1,1,1,0,1,60,16,0,17699.4
5,1,0,1,1,60,64,2,9243.8
4,1,0,1,1,60,8,0,35728.0
3,0,0,0,0,40,2,8,39283.2
3,1,1,1,1,90,128,4,12058.0
5,1,1,0,1,30,32,0,9175.8
4,0,1,1,1,80,1024,2,35728.2
3,1,0,1,0,40,2048,2,12050.8
3,1,0,0,1,20,4,2,12956.2
1,0,0,0,0,20,512,4,12006.2
3,0,1,1,0,100,1,2,14267.6
2,0,1,0,0,0,2,4,18014.2
2,1,1,1,1,30,512,6,91456.0
5,1,0,0,1,30,128,10,302303.8
2,0,0,0,0,100,128,2,4669.2
3,0,0,1,0,0,4096,0,16209.4
5,0,0,1,0,20,8,2,9210.0
5,0,0,0,1,30,2048,6,47676.2
1,0,0,0,0,20,512,10,101256.4
1,0,0,1,1,60,128,8,102773.8
2,1,1,0,1,0,128,8,85558.0
1,0,1,1,0,90,256,6,90984.6
1,1,1,1,1,60,1,2,17631.6
3,1,1,1,1,70,32,2,12379.0
5,0,1,0,0,50,512,6,47725.8
1,1,1,1,0,50,2048,8,102913.6
4,0,1,1,0,60,256,8,124784.2
3,1,1,1,1,20,4096,4,12236.4
2,1,0,1,0,100,1,2,17609.4
1,0,1,1,0,30,1,8,125105.6
3,1,1,0,0,60,32,10,48160.4
1,1,0,0,1,60,64,8,101956.6
3,0,0,0,1,40,1,6,18130.2
5,0,1,1,0,100,512,0,9130.2
5,0,0,0,1,100,64,0,9157.8
3,1,0,1,0,40,2,10,48948.4
4,1,0,0,0,50,64,2,8951.0
5,0,0,0,0,20,2048,2,9152.4
5,1,1,1,1,80,32,4,9135.8
3,1,1,0,1,0,1,4,15966.4
4,0,1,1,1,10,4096,2,35738.6
2,0,1,0,1,10,32,8,98235.0
5,1,1,1,1,40,4096,10,303945.8
2,1,0,1,1,40,2048,6,91187.0
2,1,1,1,1,50,2048,6,90966.2
3,1,1,0,0,90,2,4,13121.6
1,0,0,1,0,20,1024,8,103758.2
2,1,0,1,1,90,1024,10,103050.0
1,1,1,1,1,40,32,2,17715.2
4,1,1,1,0,40,4,4,43222.4
4,1,1,1,1,90,512,10,415225.0
2,0,0,1,0,10,4096,4,12408.2
2,1,1,1,0,90,64,10,102553.2
4,1,0,1,0,80,4096,0,35835.8
3,1,0,0,0,60,32,10,48329.8
4,0,1,1,1,70,128,4,43599.4
5,1,1,1,0,70,4,8,121582.2
4,1,0,0,1,90,4096,0,8934.0
2,1,1,0,0,60,2048,10,101300.2
4,0,1,0,1,20,4,10,161345.8
5,0,1,1,0,20,512,2,9162.4
4,1,0,1,0,100,4,10,415392.4
1,0,1,0,0,60,4096,2,17658.4
3,0,0,1,1,70,4096,6,10721.8
3,0,1,1,0,100,4096,0,12216.2
1,0,1,0,1,60,16,10,96335.2
4,0,0,0,1,40,1024,6,19788.6
2,1,0,1,0,70,8,0,17618.6
3,0,1,1,1,20,2048,0,12198.4
1,0,1,0,0,100,32,10,99479.8
5,0,1,1,1,70,512,0,9224.0
3,0,1,0,1,50,2048,4,12103.4
3,0,0,0,1,20,1024,10,49221.0
3,1,1,1,0,0,16,0,16009.2
3,1,1,0,1,30,2,6,15744.4
2,0,1,0,0,30,256,0,4851.6
4,1,1,0,1,50,16,4,13334.4
4,0,0,0,1,70,512,0,8919.0
4,0,1,0,0,70,2,0,9517.6
1,0,1,0,1,100,64,4,11745.0
1,0,0,1,0,30,2048,6,91459.2
1,1,1,0,1,80,512,2,17752.4
3,1,0,1,0,0,16,4,16173.2
5,0,0,1,1,50,256,2,9197.6
3,0,1,1,0,80,2048,2,12093.6
3,0,1,0,1,0,16,6,20721.0
2,0,0,0,1,100,32,0,4706.2
1,1,1,1,0,30,8,8,109842.4
1,0,1,1,0,60,1024,8,102794.4
1,0,0,0,0,20,64,4,12006.2
1,1,0,1,1,80,16,6,93879.4
1,0,0,1,0,60,16,4,11955.6
3,0,0,1,1,30,256,0,12236.2
5,1,0,0,1,50,1024,6,47397.2
4,0,1,1,0,100,256,2,35817.2
2,0,0,0,1,0,16,6,82294.6
4,0,1,0,1,80,2,10,180804.8
3,1,0,0,0,90,128,4,12189.8
2,0,0,0,0,100,1,6,78827.2
1,1,1,1,0,30,128,4,11927.6
4,0,1,1,1,20,1,10,418661.0
3,0,1,0,0,40,1024,4,12023.6
3,0,1,1,0,90,16,0,12332.8
1,1,1,1,1,60,128,10,102598.0
1,1,0,1,1,100,2,0,17762.0
5,0,0,0,0,60,2048,0,9215.2
1,1,0,0,1,50,2048,4,11851.0
3,1,0,0,1,40,4,6,13547.2
4,0,0,1,1,90,256,6,49793.4
5,0,0,1,0,70,4096,0,9239.6
3,0,1,0,0,80,128,8,38018.8
4,1,1,0,0,80,128,4,12776.8
4,1,1,1,0,90,8,0,35585.8
1,1,1,1,0,50,32,6,91793.2
1,0,0,1,1,80,32,2,17771.6
1,1,0,0,0,80,4096,8,101632.8
2,0,1,0,0,100,16,8,95121.6
4,0,0,0,0,30,1,6,34813.8
5,0,0,1,1,10,64,8,121281.8
2,1,1,0,1,40,128,0,4866.2
5,0,1,1,1,90,2048,4,9119.8
2,1,1,0,1,80,4,6,73060.8
1,1,1,1,0,90,64,10,103039.8
3,0,1,1,0,0,2,6,20995.0
5,0,0,0,1,20,64,8,121516.2
5,1,0,1,0,30,256,2,9276.2
4,0,0,0,0,90,2048,2,8933.0
4,1,1,1,1,40,2,8,124389.6
1,1,1,1,1,20,32,0,17692.4
2,0,0,1,1,80,8,8,109197.0
3,1,0,0,1,10,256,4,12510.6
4,0,0,1,0,90,256,6,49475.0
3,1,1,0,0,30,256,8,38146.4
1,1,1,0,0,100,1,8,83367.4
3,1,1,1,1,50,256,6,10924.6
4,0,0,0,0,20,2048,10,123841.8
3,1,1,1,0,50,8,6,12071.2
2,1,1,0,0,90,128,6,83270.8
2,1,0,0,1,50,64,4,4569.8
5,1,1,1,0,60,4096,6,47769.6
4,0,1,1,1,50,128,0,35793.2
3,1,0,1,1,100,256,6,10512.0
3,0,1,0,0,20,32,8,38557.8
3,1,0,1,1,20,16,6,11076.0
4,0,1,1,0,80,1,2,35867.6
1,1,0,0,1,10,16,8,96719.0
1,1,0,0,1,80,4096,0,17829.4
3,0,1,1,1,10,4,2,12982.4
2,1,1,1,1,80,2048,8,102635.2
4,1,0,1,1,20,1024,0,35431.8
5,1,1,0,0,70,1,6,47381.4
5,0,1,1,1,30,2,8,121109.8
3,1,1,1,0,0,2048,6,20671.2
3,0,0,1,0,0,1,10,48078.2
1,0,0,0,0,90,2048,2,17767.8
1,0,0,1,1,70,256,2,17780.8
3,0,0,1,0,100,2048,2,12321.0
4,1,0,1,0,60,32,2,35787.0
1,0,1,0,0,90,2048,6,88225.4
2,0,0,1,0,0,1,2,17781.0
3,0,0,1,1,30,32,6,10842.0
1,0,0,1,1,60,256,6,90882.6
1,0,0,0,1,40,16,4,11971.4
3,1,0,0,0,30,2,10,48844.0
3,1,0,0,1,70,2048,4,12239.4
5,1,1,0,1,0,2,8,121033.4
5,0,0,1,1,70,512,4,9201.2
1,0,0,1,1,80,8,0,17701.4
3,0,1,1,0,30,2048,4,12062.6
5,1,1,0,0,100,1,0,9082.8
4,0,1,1,1,60,8,10,417715.4
4,0,0,1,0,90,2048,0,35791.4
1,1,1,0,0,20,4,4,12479.2
2,0,1,1,0,90,32,10,103537.0
3,1,0,0,1,70,64,4,12216.0
2,0,0,0,1,10,2,2,7847.4
5,0,0,0,1,30,4096,2,9157.0
4,0,1,1,0,70,4096,0,35881.4
5,0,1,1,1,80,4,10,300052.6
4,0,0,1,1,10,32,2,35799.2
5,0,1,0,1,50,256,8,121957.8
3,1,1,1,1,30,16,8,37582.8
2,0,1,0,0,30,64,6,88630.8
1,1,0,1,1,80,512,10,102830.8
3,1,1,1,1,10,16,0,12401.0
2,0,1,1,0,10,2048,4,12432.6
3,0,0,0,0,70,32,2,12216.6
2,0,0,0,1,60,8,8,86304.2
2,1,0,0,1,100,1,6,79089.2
3,0,0,1,0,90,4096,10,48227.8
5,1,1,0,0,10,16,8,121661.0
1,1,1,1,0,60,4096,10,102623.6
4,0,0,1,1,30,128,2,36000.2
4,0,0,1,1,30,64,6,49287.0
3,1,1,1,0,20,2048,6,10961.0
3,0,1,1,0,30,4,8,37540.0
1,1,1,0,0,100,32,8,100015.0
2,0,0,1,0,70,512,2,17674.8
4,1,1,1,0,10,2048,2,35792.2
4,0,0,0,0,100,128,10,111029.6
5,1,0,1,0,90,128,10,300645.2
2,1,0,0,0,0,128,6,82502.0
5,1,1,1,1,30,4096,8,121761.0
5,0,0,0,1,30,512,0,9154.6
1,0,0,0,1,10,16,0,17781.6
1,1,1,1,0,50,1024,4,11864.4
2,1,1,1,1,40,1024,4,11946.2
2,1,0,0,1,90,4,4,11881.8
2,1,1,1,0,30,4,2,17625.4
