encryption,integrityCheck,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,compat,time
0,1,0,1,1,0,1,7.13
0,1,1,1,0,0,1,5.82
0,1,1,0,1,0,1,2.75
0,1,0,1,1,0,2,4.22
0,1,1,1,0,0,2,21.02
0,1,1,0,1,1,3,7.09
0,1,0,1,1,0,3,41.63
0,1,1,1,0,0,3,45.87
1,0,1,1,0,0,5,18.05
1,0,0,1,1,0,5,5.19
1,0,0,1,1,0,4,43.82
1,0,0,1,1,0,1,17.92
1,0,1,0,1,0,4,33.35
1,0,0,1,1,0,3,36.11
1,0,1,1,0,0,1,17.98
1,0,1,0,1,0,1,5.76
1,0,1,0,1,0,3,33.45
1,0,1,1,0,0,3,4.07
1,0,1,0,1,1,3,43.02
1,0,1,1,0,1,3,2.81
1,1,0,0,1,0,3,2.08
1,1,0,0,1,0,2,5.37
1,1,0,1,0,1,3,2.3
1,1,1,0,0,0,4,2.33
1,1,0,1,0,0,4,2.75
1,1,0,0,1,0,4,5.76
1,1,0,0,1,1,3,6.97
